symbol,Disease_Trait,link
MARK4,Mean platelet volume,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Coronary artery disease,www.ncbi.nlm.nih.gov/pubmed/29212778
MARK4,Monocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Family history of Alzheimer's disease,www.ncbi.nlm.nih.gov/pubmed/29777097
MARK4,Serum uric acid levels,www.ncbi.nlm.nih.gov/pubmed/29559957
MARK4,Hematocrit,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Lymphocyte percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Myeloid white cell count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Monocyte percentage of white cells,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Neutrophil count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Plateletcrit,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Platelet count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Platelet distribution width,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Quantitative traits,www.ncbi.nlm.nih.gov/pubmed/19197348
MARK4,Platelet count,www.ncbi.nlm.nih.gov/pubmed/22139419
MARK4,Advanced age-related macular degeneration,www.ncbi.nlm.nih.gov/pubmed/26691988
MARK4,Granulocyte count,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Cerebrospinal fluid AB1-42 levels,www.ncbi.nlm.nih.gov/pubmed/28247064
MARK4,Sum eosinophil basophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Sum neutrophil eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Sum basophil neutrophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,Eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/27863252
MARK4,"Cholesterol, total",www.ncbi.nlm.nih.gov/pubmed/28270201
MARK4,Alzheimer's disease or family history of Alzheimer's disease,www.ncbi.nlm.nih.gov/pubmed/29777097
MARK4,Adolescent idiopathic scoliosis,www.ncbi.nlm.nih.gov/pubmed/30019117
MARK4,Blood protein levels,www.ncbi.nlm.nih.gov/pubmed/30072576
MARK4,Alzheimer's disease or family history of Alzheimer's disease,www.ncbi.nlm.nih.gov/pubmed/30617256
MARK4,Body mass index,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK4,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30598549
MARK4,Parental longevity (father's attained age),www.ncbi.nlm.nih.gov/pubmed/29227965
MARK4,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK4,Red blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK4,Red cell distribution width,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK4,Eosinophil counts,www.ncbi.nlm.nih.gov/pubmed/30595370
MARK4,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
