symbol,Disease_Trait,link
NEK10,Breast cancer,www.ncbi.nlm.nih.gov/pubmed/19330027
NEK10,CTACK levels,www.ncbi.nlm.nih.gov/pubmed/27989323
NEK10,Triptolide cytotoxicity,www.ncbi.nlm.nih.gov/pubmed/26121980
NEK10,Breast cancer,www.ncbi.nlm.nih.gov/pubmed/29059683
NEK10,Systolic blood pressure x alcohol consumption interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
NEK10,Diastolic blood pressure x alcohol consumption interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
NEK10,Pulse pressure x alcohol consumption interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
NEK10,Mean arterial pressure x alcohol consumption interaction (2df test),www.ncbi.nlm.nih.gov/pubmed/29912962
NEK10,Breast cancer (early onset),www.ncbi.nlm.nih.gov/pubmed/24493630
NEK10,Gut microbiota (functional units),www.ncbi.nlm.nih.gov/pubmed/27694959
NEK10,Cancer (pleiotropy),www.ncbi.nlm.nih.gov/pubmed/27197191
NEK10,Late-onset Alzheimer's disease,www.ncbi.nlm.nih.gov/pubmed/27770636
NEK10,Uterine fibroids,www.ncbi.nlm.nih.gov/pubmed/30194396
NEK10,Systolic blood pressure,www.ncbi.nlm.nih.gov/pubmed/30578418
NEK10,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
