symbol,Disease_Trait,link
CDK12,Glomerular filtration rate (creatinine),www.ncbi.nlm.nih.gov/pubmed/28452372
CDK12,Lung function (FEV1),www.ncbi.nlm.nih.gov/pubmed/28166213
CDK12,Systemic lupus erythematosus,www.ncbi.nlm.nih.gov/pubmed/24871463
CDK12,Urinary metabolites,www.ncbi.nlm.nih.gov/pubmed/26352407
CDK12,Glomerular filtration rate,www.ncbi.nlm.nih.gov/pubmed/27588450
CDK12,Creatinine levels,www.ncbi.nlm.nih.gov/pubmed/29403010
CDK12,Glomerular filtration rate,www.ncbi.nlm.nih.gov/pubmed/29403010
CDK12,Lung function (FEV1),www.ncbi.nlm.nih.gov/pubmed/30061609
CDK12,Lung function (FVC),www.ncbi.nlm.nih.gov/pubmed/30061609
CDK12,Red cell distribution width,www.ncbi.nlm.nih.gov/pubmed/30595370
CDK12,White blood cell count,www.ncbi.nlm.nih.gov/pubmed/30595370
CDK12,Estimated glomerular filtration rate,www.ncbi.nlm.nih.gov/pubmed/30604766
