symbol,Disease_Trait,link
NEK7,High altitude adaptation,www.ncbi.nlm.nih.gov/pubmed/28373541
NEK7,Tuberculosis,www.ncbi.nlm.nih.gov/pubmed/28928442
NEK7,Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide),www.ncbi.nlm.nih.gov/pubmed/23648065
NEK7,Educational attainment (MTAG),www.ncbi.nlm.nih.gov/pubmed/30038396
NEK7,Educational attainment (years of education),www.ncbi.nlm.nih.gov/pubmed/30038396
NEK7,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30048462
NEK7,DNA methylation variation (age effect),www.ncbi.nlm.nih.gov/pubmed/30348214
NEK7,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30598549
NEK7,Mean corpuscular hemoglobin,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK7,Heel bone mineral density,www.ncbi.nlm.nih.gov/pubmed/30595370
NEK7,General risk tolerance (MTAG),www.ncbi.nlm.nih.gov/pubmed/30643258
